subsystem,sensor,parameter,unit,minval,maxval,datasheet
chemsense,no2,concentration,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/no2.pdf"
chemsense,o3,concentration,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/o3.pdf"
chemsense,so2,concentration,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/so2.pdf"
chemsense,reducing_gases,concentration,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense"
chemsense,oxidizing_gases,concentration,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense"
chemsense,at0,temperature,,,,"https://github.com/waggle-sensor/sensors"
chemsense,at1,temperature,,,,"https://github.com/waggle-sensor/sensors"
chemsense,at2,temperature,,,,"https://github.com/waggle-sensor/sensors"
chemsense,at3,temperature,,,,"https://github.com/waggle-sensor/sensors"
alphasense,opc_n2,fw,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf"
alphasense,opc_n2,pm1,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf"
alphasense,opc_n2,pm2_5,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf"
alphasense,opc_n2,pm10,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf"
alphasense,opc_n2,sample_flow_rate,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf"
alphasense,opc_n2,sampling_period,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf"
nc,uptime,uptime,,,,
nc,uptime,idletime,,,,
nc,loadavg,load_1,,,,
nc,loadavg,load_5,,,,
nc,loadavg,load_10,,,,
nc,mem,total,,,,
nc,mem,free,,,,
nc,net_broadband,rx,,,,
nc,net_broadband,tx,,,,
nc,net_lan,rx,,,,
nc,net_lan,tx,,,,
nc,net_usb,rx,,,,
nc,net_usb,tx,,,,
ep,uptime,uptime,,,,
ep,uptime,idletime,,,,
ep,loadavg,load_1,,,,
ep,loadavg,load_5,,,,
ep,loadavg,load_10,,,,
ep,mem,total,,,,
ep,mem,free,,,,
wagman,uptime,uptime,,,,
wagman,current,wagman,,,,
wagman,current,nc,,,,
wagman,current,ep,,,,
wagman,current,cs,,,,
wagman,failures,nc,,,,
wagman,failures,ep,,,,
wagman,failures,cs,,,,
wagman,temperatures,nc_heatsink,,,,
wagman,temperatures,ep_heatsink,,,,
wagman,temperatures,battery,,,,
wagman,temperatures,brainplate,,,,
wagman,temperatures,powersupply,,,,
wagman,enabled,nc,,,,
wagman,enabled,ep,,,,
wagman,enabled,cs,,,,
wagman,heartbeat,nc,,,,
wagman,heartbeat,ep,,,,
wagman,heartbeat,cs,,,,
wagman,htu21d,temperature,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/htu21d.pdf"
wagman,htu21d,humidity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/htu21d.pdf"
audio,microphone,octave_1_intensity,,,,
audio,microphone,octave_2_intensity,,,,
audio,microphone,octave_3_intensity,,,,
audio,microphone,octave_4_intensity,,,,
audio,microphone,octave_5_intensity,,,,
audio,microphone,octave_6_intensity,,,,
audio,microphone,octave_7_intensity,,,,
audio,microphone,octave_8_intensity,,,,
audio,microphone,octave_9_intensity,,,,
audio,microphone,octave_10_intensity,,,,
audio,microphone,octave_total_intensity,,,,
plantower,pms7003,10um_particle,,,,
plantower,pms7003,1um_particle,,,,
plantower,pms7003,2_5um_particle,,,,
plantower,pms7003,5um_particle,,,,
plantower,pms7003,pm10_atm,,,,
plantower,pms7003,pm10_cf1,,,,
plantower,pms7003,pm1_atm,,,,
plantower,pms7003,pm1_cf1,,,,
plantower,pms7003,pm25_atm,,,,
plantower,pms7003,pm25_cf1,,,,
plantower,pms7003,point_3um_particle,,,,
plantower,pms7003,point_5um_particle,,,,
